year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
2007;4;0.0;0.0;462.137222127866;532.741004075131;4.93;728.868176264315;1.7
2007;5;0.005;-0.132504737;462.232814275347;533.153451740823;4.91;732.061961185224;1.64
2007;6;0.005;-0.267308914;462.290499053717;533.384858958769;4.96;732.263592149999;1.59
2007;7;0.0;0.0;462.170473382718;533.562760205437;4.96;732.693261004378;1.65
2007;8;-0.030000000000000002;-2.585706945;462.362877321203;533.593583525449;4.47;728.249997711031;1.98
2007;9;-0.155;1.335934347;462.584889999645;534.016443549993;4.14;731.12985415276;2.07
2007;10;0.03;-0.428302321;462.302483878193;534.324292990103;4.1;733.931689181158;1.95
2007;11;0.0;0.0;462.834555057865;535.10710939839;3.5;728.851094102491;2.25
2007;12;0.035;-1.737701686;462.869431128496;535.396491738685;3.26;729.927020080358;2.55
2008;1;-0.235;0.882898944;462.736993788399;535.740669275403;2.71;722.893982348792;2.8
2008;2;0.0;0.0;462.344026698586;535.982160139148;2.05;721.146078775176;3.09
2008;3;0.1775;-0.4966336;462.038977818478;536.339324328422;1.54;718.306614261892;3.38
2008;4;-0.065;0.266284896;461.391682239465;536.570495024973;1.74;722.290902568202;3.29
2008;5;0.0;0.0;460.784061721062;537.160500231786;2.06;724.652487465203;3.05
2008;6;-0.045;0.085608366;460.550512988812;538.202872111502;2.42;720.135729394491;2.97
2008;7;0.0;0.0;460.192492582306;538.914478650853;2.28;713.674570396826;3.15
2008;8;-0.025;0.134407546;458.610051001745;538.765520190023;2.18;715.576313546378;3.26
2008;9;0.1275;-0.629964853;454.105290944789;538.85099281999;1.91;710.410300750918;3.63
2008;10;-0.085;-2.268821144;455.094523005614;537.987431180035;1.42;687.605819223888;5.06
2008;11;0.0;0.0;453.765657699554;536.201021770753;1.07;678.337049969119;5.69
2008;12;-0.185;1.102872453;450.905238014163;535.374261265345;0.49;677.714532907086;6.01
2009;1;0.0;-0.217740087;448.379319982149;535.627018698571;0.44;676.339980246484;5.63
